41: --- wins 🔵: 20, wins 🔴: 13, no winner: 8   ---   winrate 🔵: 0,487805, winrate 🔴: 0,317073   ---   clean winrate 🔵: 0,606061, clean winrate 🔴: 0,393939 ### player1bias: 24, 0,727273
42: --- wins 🔴: 13, wins 🔵: 21, no winner: 8   ---   winrate 🔴: 0,309524, winrate 🔵: 0,500000   ---   clean winrate 🔴: 0,382353, clean winrate 🔵: 0,617647 ### player1bias: 24, 0,705882
43: --- wins 🔵: 21, wins 🔴: 13, no winner: 9   ---   winrate 🔵: 0,488372, winrate 🔴: 0,302326   ---   clean winrate 🔵: 0,617647, clean winrate 🔴: 0,382353 ### player1bias: 24, 0,705882
44: --- wins 🔴: 13, wins 🔵: 22, no winner: 9   ---   winrate 🔴: 0,295455, winrate 🔵: 0,500000   ---   clean winrate 🔴: 0,371429, clean winrate 🔵: 0,628571 ### player1bias: 24, 0,685714
45: --- wins 🔵: 22, wins 🔴: 13, no winner: 10   ---   winrate 🔵: 0,488889, winrate 🔴: 0,288889   ---   clean winrate 🔵: 0,628571, clean winrate 🔴: 0,371429 ### player1bias: 24, 0,685714
46: --- wins 🔴: 13, wins 🔵: 22, no winner: 11   ---   winrate 🔴: 0,282609, winrate 🔵: 0,478261   ---   clean winrate 🔴: 0,371429, clean winrate 🔵: 0,628571 ### player1bias: 24, 0,685714
47: --- wins 🔵: 23, wins 🔴: 13, no winner: 11   ---   winrate 🔵: 0,489362, winrate 🔴: 0,276596   ---   clean winrate 🔵: 0,638889, clean winrate 🔴: 0,361111 ### player1bias: 25, 0,694444
48: --- wins 🔴: 13, wins 🔵: 23, no winner: 12   ---   winrate 🔴: 0,270833, winrate 🔵: 0,479167   ---   clean winrate 🔴: 0,361111, clean winrate 🔵: 0,638889 ### player1bias: 25, 0,694444
49: --- wins 🔵: 24, wins 🔴: 13, no winner: 12   ---   winrate 🔵: 0,489796, winrate 🔴: 0,265306   ---   clean winrate 🔵: 0,648649, clean winrate 🔴: 0,351351 ### player1bias: 26, 0,702703
50: --- wins 🔴: 14, wins 🔵: 24, no winner: 12   ---   winrate 🔴: 0,280000, winrate 🔵: 0,480000   ---   clean winrate 🔴: 0,368421, clean winrate 🔵: 0,631579 ### player1bias: 27, 0,710526
